% BSU Number ;% Gene_Name ;% number messenger  ;number protein;promoter_efficiency  (1/s);messenger degradation (1/s);rbs_eficiency (1/s);protein degradation (1/s)
BSU00840;mcsA;5.7144;155.3397;0.03526;0.0061705;0.013441;0.00049444
BSU00850;mcsB;6.3442;132.2698;0.037954;0.0059824;0.010309;0.00049444
BSU00860;clpC;6.4742;805.9026;0.035258;0.005446;0.061548;0.00049444
BSU00870;radA;3.7079;1822.88;0.029694;0.0080083;0.24308;0.00049444
BSU00880;yacK;5.21;134.8834;0.038089;0.0073107;0.012801;0.00049444
BSU00890;yacL;5.9139;418.2693;0.038116;0.0064451;0.034971;0.00049444
BSU00900;yacM;5.4041;26.5061;0.041817;0.0077381;0.0024252;0.00049444
BSU00910;yacN;5.8141;134.1752;0.039124;0.0067291;0.011411;0.00049444
BSU00920;gltX;10.1253;2582.4223;0.10285;0.010158;0.12611;0.00049444
BSU00930;cysE;6.0201;54.3849;0.056161;0.0093289;0.0044668;0.00049444
BSU00940;cysS;5.3601;485.6936;0.04891;0.0091248;0.044803;0.00049444
BSU00950;yazC;5.9696;2014.0503;0.056347;0.009439;0.16682;0.00049444
BSU00960;yacO;7.584;331.7606;0.065945;0.0086953;0.021629;0.00049444
BSU00970;yacP;9.6661;442.4581;0.084529;0.0087449;0.022633;0.00049444
BSU00980;sigH;14.1181;174.5434;0.10102;0.0071556;0.0061129;0.00049444
BSU00990;rpmGB;1.4022;5.8235;0.011107;0.0079213;0.0020535;0.00049444
BSU01000;secE;2.8784;135.6289;0.023214;0.0080648;0.023298;0.00049444
BSU01010;nusG;4.6337;922.7956;0.058761;0.012681;0.098468;0.00049444
BSU01020;rplK;40.5555;18304.5633;0.17408;0.0042924;0.22317;0.00049444
BSU01030;rplA;18.325;11153.1529;0.09494;0.0051809;0.30093;0.00049444
BSU01040;rplJ;10.1697;5126.2736;0.055707;0.0054777;0.24924;0.00049444
BSU01050;rplL;4.3787;47438.9657;0.01954;0.0044624;5.3568;0.00049444
BSU01060;ybxB;11.9912;649.8708;0.098501;0.0082144;0.026797;0.00049444
BSU01070;rpoB;33.4134;4823.258;0.23334;0.0069835;0.071374;0.00049444
BSU01080;rpoC;42.4525;4023.0965;0.26457;0.0062322;0.046857;0.00049444
BSU01090;ybxF;106.7428;19211.6362;1.0025;0.0093917;0.08899;0.00049444
BSU01100;rpsL;102.771;728.4651;0.81923;0.0079714;0.0035047;0.00049444
BSU01110;rpsG;41.9701;40913.8265;0.29781;0.0070957;0.482;0.00049444
BSU01120;fusA;95.0908;28376.0403;0.46815;0.0049232;0.14755;0.00049444
BSU01130;tufA;112.8135;128452.2531;0.25728;0.0022806;0.56299;0.00049444
BSU01140;ybaC;2.6814;108.7937;0.016884;0.0062967;0.020061;0.00049444
BSU01150;rpsJ;90.7485;19484.4441;0.67475;0.0074353;0.10616;0.00049444
BSU01160;rplC;90.7372;5083.3028;0.61465;0.006774;0.0277;0.00049444
BSU01170;rplD;112.536;7997.8014;0.71949;0.0063934;0.03514;0.00049444
BSU01180;rplW;120.235;8633.7225;0.53802;0.0044747;0.035505;0.00049444
BSU01190;rplB;89.5462;8614.1554;0.49785;0.0055597;0.047565;0.00049444
BSU01200;rpsS;117.0622;1844.7309;0.56068;0.0047896;0.0077917;0.00049444
BSU01210;rplV;124.7413;3985.1244;0.50314;0.0040335;0.015796;0.00049444
BSU01220;rpsC;87.0237;23666.5813;0.36687;0.0042157;0.13447;0.00049444
BSU01230;rplP;96.2522;3517.4057;0.29491;0.0030639;0.018069;0.00049444
BSU01240;rpmC;74.3774;25689.1692;0.20907;0.0028109;0.17078;0.00049444
BSU01250;rpsQ;95.1025;3872.0079;0.27692;0.0029118;0.020131;0.00049444
BSU01260;rplN;124.1578;3391.3501;0.33664;0.0027113;0.013506;0.00049444
BSU01270;rplX;83.3028;2029.9371;0.22468;0.0026971;0.012049;0.00049444
BSU01280;rplE;82.5239;29755.6018;0.20948;0.0025384;0.17828;0.00049444
BSU01290;rpsN;75.9678;4999.2817;0.21611;0.0028448;0.032538;0.00049444
BSU01300;rpsH;86.426;13627.9334;0.21313;0.0024661;0.077966;0.00049444
BSU01310;rplF;93.8583;7804.0818;0.25487;0.0027155;0.041112;0.00049444
BSU01320;rplR;108.7117;3492.2643;0.22508;0.0020705;0.015884;0.00049444
BSU01330;rpsE;73.8232;25167.6752;0.16421;0.0022244;0.16857;0.00049444
BSU01340;rpmD;53.0407;3456.8558;0.10953;0.002065;0.032225;0.00049444
BSU01350;rplO;40.1087;5848.9602;0.078426;0.0019553;0.072104;0.00049444
BSU01360;secY;89.2266;288.2211;0.17652;0.0019783;0.0015972;0.00049444
BSU01370;adk;95.0916;5392.4716;0.16604;0.0017461;0.028039;0.00049444
BSU01380;map;112.5797;370.6284;0.22498;0.0019984;0.0016278;0.00049444
BSU01390;infA;106.1939;2727.155;0.23824;0.0022434;0.012698;0.00049444
BSU01400;rpmJ;59.6889;956.4399;0.15241;0.0025533;0.0079229;0.00049444
BSU01410;rpsM;106.2439;8013.0329;0.19157;0.0018031;0.037292;0.00049444
BSU01420;rpsK;68.6593;2492.766;0.19069;0.0027773;0.017951;0.00049444
BSU01430;rpoA;83.9157;6217.3818;0.17392;0.0020725;0.036634;0.00049444
BSU01440;rplQ;32.6228;16031.7671;0.056268;0.0017248;0.24298;0.00049444
BSU01450;ybxA;12.9691;159.5927;0.28704;0.022133;0.0060844;0.00049444
BSU01460;ybaE;10.2172;163.233;0.20902;0.020457;0.0078994;0.00049444
BSU01470;ybaF;6.8388;112.0278;0.14181;0.020737;0.0080997;0.00049444
BSU01480;truA;20.2563;422.2865;0.22446;0.011081;0.010308;0.00049444
BSU01490;rplM;96.8447;9078.1849;0.36758;0.0037956;0.046349;0.00049444
BSU01500;rpsI;20.3931;7887.7213;0.07075;0.0034693;0.19124;0.00049444
BSU01510;ybaJ;1.2306;173.133;0.012524;0.010178;0.069565;0.00049444
BSU01520;ybaK;0.051795;0.48475;0.00056715;0.01095;0.0046276;0.00049444
BSU01530;cwlD;0.047954;0.22471;0.00029273;0.0061043;0.002317;0.00049444
BSU01540;ybaL;5.8029;656.8135;0.017095;0.002946;0.055964;0.00049444
BSU01550;gerD;0.036546;0.71694;0.0010927;0.029898;0.0096997;0.00049444
BSU01560;kbaA;1.6764;19.7245;0.028774;0.017164;0.0058176;0.00049444
BSU01570;ybaN;0.061916;2.4414;0.000466;0.0075264;0.019496;0.00049444
BSU01580;ybaR;1.4378;8.0384;0.0074701;0.0051956;0.0027644;0.00049444
BSU01590;ybaS;0.78586;201.1851;0.0052953;0.0067383;0.12658;0.00049444
BSU01600;ybbA;0.32282;38.796;0.0026444;0.0081914;0.059422;0.00049444
BSU01610;feuC;0.38279;2.7351;0.0026178;0.0068386;0.0035329;0.00049444
BSU01620;feuB;0.31734;7.0128;0.0022154;0.0069811;0.010927;0.00049444
BSU01630;feuA;0.59126;356.5713;0.0044944;0.0076014;0.29819;0.00049444
BSU01640;ybbB;0.36222;34.6967;0.0045482;0.012557;0.047362;0.00049444
BSU01650;ybbC;0.14199;2.0583;0.0014134;0.0099543;0.0071676;0.00049444
BSU01660;ybbD;0.24283;9.5061;0.0034028;0.014013;0.019356;0.00049444
BSU01670;ybbE;0.45679;20.2274;0.0077708;0.017012;0.021895;0.00049444
BSU01680;ybbF;0.42905;30.5368;0.0091186;0.021253;0.035191;0.00049444
